Rio de Janeiro (RJ);1874;6428;27
Juiz de Fora (MG);1360;-;-
Caxias do Sul (RS);1270;453;-
Bebedouro (SP);716;-;-
Barretos (SP);600;-;-
Porto Alegre (RS);355;1414;-
Itabuna (BA);349;-;120
Cruzeiro (SP);295;-;-
Belém (PA);294;-;169
Valença (RJ);289;-;-
Cacoal (RO);280;-;-
Macaé (RJ);249;65;-
Petrópolis (RJ);233;47;-
Paranaguá (PR);230;153;-
Bagé (RS);222;66;-
Santa Helena de Goiás (GO);217;-;-
Campo Belo (MG);216;-;-
Presidente Venceslau (SP);210;-;-
Afogados da Ingazeira (PE);200;-;3
Mariana (MG);196;-;-
Tupaciguara (MG);180;-;-
Santa Fé do Sul (SP);167;-;-
Goianésia (GO);161;-;-
Barbacena (MG);158;92;-
Saloá (PE);150;-;-
Itajuípe (BA);150;-;-
Ouro Preto (MG);150;200;-
Colina (SP);143;-;-
Guararapes (SP);141;-;1
São José do Rio Pardo (SP);130;-;130
Guaporé (RS);130;-;-
Santa Juliana (MG);127;-;-
Cachoeiras de Macacu (RJ);123;-;-
Jaguaré (ES);119;-;-
Barra do Piraí (RJ);114;-;-
Araripina (PE);107;-;-
Valença (BA);106;-;-
Ibirama (SC);106;-;-
Crato (CE);102;-;-
Brazópolis (MG);100;-;-
Presidente Olegário (MG);100;-;-
Araruama (RJ);99;-;-
Bicas (MG);97;-;-
Paty do Alferes (RJ);97;2;-
São Francisco de Paula (MG);93;-;-
Macapá (AP);90;-;-
São Lourenço do Sul (RS);90;-;-
Arroio Grande (RS);89;43;-
Pirajuí (SP);86;-;-
Penha (SC);84;-;-
Belo Jardim (PE);81;-;-
Tanguá (RJ);81;19;-
Tobias Barreto (SE);80;-;-
Perdizes (MG);80;-;-
Abadiânia (GO);80;50;-
Wenceslau Guimarães (BA);75;-;-
Nova Hartz (RS);70;4;3
Torres (RS);70;-;-
Itatiaia (RJ);65;-;-
São Simão (SP);63;-;-
Jaraguá (GO);62;-;-
Guanambi (BA);61;119;-
Paracambi (RJ);61;-;-
Pindorama (SP);61;-;61
Taquaritinga do Norte (PE);60;-;-
Carandaí (MG);60;-;-
Miracema (RJ);60;-;-
Pitangueiras (SP);60;-;-
Taió (SC);60;-;-
Capinópolis (MG);59;-;-
Itamonte (MG);59;10;-
Bonito (MS);59;-;-
Saquarema (RJ);57;-;-
Severínia (SP);57;-;-
Bom Princípio (RS);57;-;-
Passa Quatro (MG);56;9;-
São Pedro da Aldeia (RJ);56;-;-
Canguçu (RS);56;-;-
Colíder (MT);56;-;-
Guaçuí (ES);54;-;-
Armação dos Búzios (RJ);54;-;-
Cupira (PE);53;-;-
Herculândia (SP);53;-;-
Paraisópolis (MG);52;-;-
Ponte Nova (MG);52;198;-
Cristais (MG);50;-;-
Itanhandu (MG);50;-;-
Reginópolis (SP);50;-;-
Guaiçara (SP);48;-;-
Costa Rica (MS);47;-;-
Camboriú (SC);46;-;-
Barra do Bugres (MT);46;-;-
Cabrobó (PE);45;-;-
Ariranha (SP);44;-;-
Jaguaraçu (MG);42;10;-
Delfim Moreira (MG);41;-;-
Parnarama (MA);40;-;40
Chã Grande (PE);40;15;-
Maria da Fé (MG);40;-;-
Rio Paranaíba (MG);40;-;-
Laurentino (SC);40;-;-
Rio do Campo (SC);40;-;-
Agudo (RS);40;-;-
Araci (BA);39;2;-
Santo Antônio do Amparo (MG);39;-;-
Barra do Quaraí (RS);39;-;-
Cabo Frio (RJ);38;-;-
Cajobi (SP);38;-;-
Ipê (RS);37;-;-
Dona Francisca (RS);36;-;-
Panelas (PE);35;-;-
Catu (BA);35;-;-
Lagamar (MG);35;-;-
Iúna (ES);35;20;-
Mendes (RJ);35;-;-
São Pedro do Sul (RS);35;-;-
Montividiu (GO);35;-;35
Eugenópolis (MG);34;-;-
Três Rios (RJ);34;28;2
Ubatã (BA);32;-;-
Baldim (MG);32;1;-
Piracema (MG);32;5;-
Rio Novo do Sul (ES);32;2;-
Vera Cruz (RS);32;11;-
Iguatu (CE);31;-;-
Murici (AL);31;-;-
Abre Campo (MG);31;-;-
Camocim de São Félix (PE);30;-;-
Capoeiras (PE);30;-;-
Carnaíba (PE);30;-;-
Teotônio Vilela (AL);30;-;-
Itabaianinha (SE);30;-;-
Alvinópolis (MG);30;-;-
Florestal (MG);30;-;-
São João do Oriente (MG);30;-;-
São Sebastião da Bela Vista (MG);30;-;-
Varjão de Minas (MG);30;-;2
São João da Barra (RJ);30;-;-
Américo de Campos (SP);30;-;-
Dumont (SP);30;12;-
Getulina (SP);30;30;-
Santa Lúcia (SP);30;20;-
Agronômica (SC);30;-;-
Águas Belas (PE);29;68;-
Engenheiro Paulo de Frontin (RJ);27;-;-
Floresta Azul (BA);26;-;-
Bonfinópolis de Minas (MG);26;-;-
Nova Europa (SP);26;-;-
Jaguarão (RS);26;-;-
Araruna (PB);25;-;-
Nova Palmeira (PB);25;-;-
Ewbank da Câmara (MG);25;-;-
Mercês (MG);25;-;-
Rio Vermelho (MG);25;-;-
Tumiritinga (MG);25;-;-
Quaraí (RS);25;5;-
São Joaquim do Monte (PE);24;-;-
Moita Bonita (SE);24;-;-
Brejões (BA);24;-;-
Cuparaque (MG);24;-;-
Alto Jequitibá (MG);24;-;-
São José do Alegre (MG);24;-;-
Murutinga do Sul (SP);24;-;-
Santa Inês (BA);22;-;-
Antônio Carlos (MG);22;-;-
Dom Cavati (MG);22;-;-
Jaborandi (BA);21;-;-
Arraial do Cabo (RJ);21;-;-
Pio IX (PI);20;-;-
Esperança (PB);20;-;-
Iati (PE);20;-;-
Lafaiete Coutinho (BA);20;-;-
Pintadas (BA);20;-;-
Capitólio (MG);20;-;-
Frei Inocêncio (MG);20;-;-
Santa Rosa da Serra (MG);20;-;-
Silvianópolis (MG);20;-;-
Alfredo Chaves (ES);20;-;-
Ibitirama (ES);20;-;-
Porto Belo (SC);20;-;-
Dom Pedrito (RS);20;-;-
São João do Polêsine (RS);19;-;-
Jucati (PE);18;-;-
Ubaíra (BA);18;-;-
Cruzeiro da Fortaleza (MG);18;-;-
Pouso Alto (MG);18;-;-
Agrestina (PE);17;-;-
Alagoinha (PE);17;-;-
Calçado (PE);17;-;-
Arapuá (MG);17;-;-
São Bento do Una (PE);16;15;-
Caturama (BA);16;-;-
Chácara (MG);16;-;-
Itamarati de Minas (MG);16;16;-
Reduto (MG);16;-;-
Virgem da Lapa (MG);16;29;-
São José do Barreiro (SP);16;-;-
Vitor Meireles (SC);16;-;-
Alagoa Grande (PB);15;-;-
Bom Sucesso (PB);15;-;-
Brejinho (PE);15;-;-
Passira (PE);15;-;-
São João (PE);15;-;-
Porto da Folha (SE);15;-;-
Cravolândia (BA);15;-;-
Guaratinga (BA);15;-;-
Poções (BA);15;25;-
Machacalis (MG);15;-;-
Mendes Pimentel (MG);15;-;-
Piranguinho (MG);15;-;-
Tocos do Moji (MG);15;-;-
Natividade da Serra (SP);15;-;-
Fraiburgo (SC);15;-;-
Divino das Laranjeiras (MG);14;6;-
Japaraíba (MG);14;-;-
São Sebastião do Alto (RJ);14;1;-
Iracema (RR);13;-;-
Itaporanga (PB);13;-;-
Euclides da Cunha (BA);13;38;1
Itagimirim (BA);13;-;-
Matutina (MG);13;-;-
Santa Margarida (MG);13;-;-
Caiuá (SP);13;-;-
Anita Garibaldi (SC);13;-;-
Bom Retiro (SC);13;-;-
São Cristóvão do Sul (SC);13;-;-
Bataguassu (MS);13;-;-
Boqueirão (PB);12;-;-
Malta (PB);12;-;-
Bom Conselho (PE);12;-;-
Apuarema (BA);12;-;-
Ibirataia (BA);12;-;-
Cachoeira Dourada (MG);12;-;-
Conceição das Pedras (MG);12;-;-
Novais (SP);12;-;-
Coronel Freitas (SC);12;-;-
Joaquim Nabuco (PE);11;-;-
Biritinga (BA);11;-;-
Nova Canaã (BA);11;-;-
Bocaina de Minas (MG);11;-;-
Engenheiro Caldas (MG);11;11;-
Pocrane (MG);11;-;-
Sem-Peixe (MG);11;-;-
Ocauçu (SP);11;-;-
Gravatal (SC);11;-;-
Canhotinho (PE);10;-;-
Cumaru (PE);10;-;-
João Alfredo (PE);10;-;-
Lagoa do Ouro (PE);10;-;-
Poção (PE);10;-;-
Flexeiras (AL);10;2;-
Lagarto (SE);10;25;-
Rosário do Catete (SE);10;-;-
Itagibá (BA);10;9;1
Araponga (MG);10;10;-
Araporã (MG);10;-;-
Bertópolis (MG);10;-;-
Coroaci (MG);10;-;1
Espírito Santo do Dourado (MG);10;-;-
Ingaí (MG);10;-;-
Romaria (MG);10;-;-
Areal (RJ);10;-;1
Bom Jardim da Serra (SC);10;4;-
Faxinal do Soturno (RS);10;-;-
Júlio de Castilhos (RS);10;-;-
Vista Alegre do Prata (RS);10;-;-
Santana (AP);9;-;-
São João do Jaguaribe (CE);9;-;-
Bonito de Santa Fé (PB);9;-;-
Iguaba Grande (RJ);9;-;-
Sumidouro (RJ);9;-;-
Chapadão do Lageado (SC);9;-;-
Presidente Nereu (SC);9;-;-
Codajás (AM);8;-;-
Serra do Navio (AP);8;-;-
Cacimba de Dentro (PB);8;-;-
Juripiranga (PB);8;-;-
Natuba (PB);8;-;-
São João do Cariri (PB);8;-;-
Itaporanga d'Ajuda (SE);8;-;-
São Miguel do Aleixo (SE);8;-;-
Mascote (BA);8;-;-
Teolândia (BA);8;-;-
Itambé do Mato Dentro (MG);8;-;-
Jacutinga (MG);8;-;-
Jeceaba (MG);8;-;-
Marmelópolis (MG);8;-;-
Martins Soares (MG);8;-;-
Olaria (MG);8;-;-
Santa Rita de Minas (MG);8;10;-
Trajano de Moraes (RJ);8;-;1
Bonito (PE);7;-;-
Abaíra (BA);7;-;-
Baixa Grande (BA);7;-;-
Barra do Rocha (BA);7;-;-
Iguaí (BA);7;22;-
Itiruçu (BA);7;-;-
Inconfidentes (MG);7;-;-
Luminárias (MG);7;-;-
São Tomé das Letras (MG);7;-;-
José Boiteux (SC);7;-;-
Mirim Doce (SC);7;-;-
Diamante (PB);6;-;-
Ibiara (PB);6;-;-
Casinhas (PE);6;-;-
Jaqueira (PE);6;-;-
Capela do Alto Alegre (BA);6;-;-
Jequié (BA);6;462;-
Santa Cruz de Minas (MG);6;6;-
Campo Belo do Sul (SC);6;-;-
Correia Pinto (SC);6;-;-
São João do Itaperiú (SC);6;-;-
Novo Cabrais (RS);6;-;-
Alto Alegre (RR);5;-;-
Oiapoque (AP);5;-;-
Porteiras (CE);5;5;-
Barra de Santa Rosa (PB);5;-;-
Caraúbas (PB);5;-;-
Conceição (PB);5;-;-
Itapororoca (PB);5;-;-
