São Paulo (SP);21472
Serrana (SP);11550
Rio de Janeiro (RJ);10711
Brasília (DF);8855
Curitiba (PR);6988
Belo Horizonte (MG);6858
Goiânia (GO);6712
Salvador (BA);4686
Campinas (SP);4676
Porto Alegre (RS);4143
Fortaleza (CE);4136
Campo Grande (MS);3952
Manaus (AM);3768
Recife (PE);3521
Uberlândia (MG);3211
Londrina (PR);2974
Teresina (PI);2739
Cuiabá (MT);2566
Capanema (PA);2518
Maringá (PR);2485
Guarulhos (SP);2361
Aparecida de Goiânia (GO);2284
Ribeirão Preto (SP);2204
Nova Mamoré (RO);2165
Joinville (SC);2162
Belém (PA);2127
Barra Mansa (RJ);2127
Anápolis (GO);2025
Feira de Santana (BA);2000
São Bernardo do Campo (SP);1996
Sorocaba (SP);1982
Contagem (MG);1973
Ponta Grossa (PR);1952
São José do Rio Preto (SP);1940
Santo André (SP);1900
Jundiaí (SP);1892
Juiz de Fora (MG);1853
Serra (ES);1826
Montes Claros (MG);1796
Palmas (TO);1793
São Luís (MA);1777
Caxias do Sul (RS);1743
São Gonçalo (RJ);1687
Bauru (SP);1670
Piracicaba (SP);1669
Natal (RN);1602
Aracaju (SE);1573
Uberaba (MG);1572
Blumenau (SC);1572
Foz do Iguaçu (PR);1556
Casa Branca (SP);1555
Franca (SP);1516
Betim (MG);1507
Americana (SP);1505
Florianópolis (SC);1487
Maceió (AL);1444
Araraquara (SP);1417
Boa Vista (RR);1402
Santos (SP);1399
Vila Velha (ES);1370
Palmas de Monte Alto (BA);1346
Campos dos Goytacazes (RJ);1342
Trindade (GO);1331
Dourados (MS);1327
Niterói (RJ);1312
Duque de Caxias (RJ);1307
São José dos Campos (SP);1291
Cariacica (ES);1264
Paulista (PE);1261
Cascavel (PR);1257
São José dos Pinhais (PR);1208
Araguaína (TO);1203
Osasco (SP);1201
Limeira (SP);1200
Vitória da Conquista (BA);1189
Várzea Grande (MT);1185
Jaboatão dos Guararapes (PE);1156
Rio Branco (AC);1140
Cabo Frio (RJ);1134
Criciúma (SC);1129
Sete Lagoas (MG);1127
Mogi das Cruzes (SP);1118
Coração de Jesus (MG);1091
Poços de Caldas (MG);1082
Cotia (SP);1079
Ribeirão das Neves (MG);1067
Divinópolis (MG);1061
Presidente Prudente (SP);1051
Itapiranga (SC);1040
Volta Redonda (RJ);1039
Indaiatuba (SP);1030
Crissiumal (RS);1030
João Pessoa (PB);1025
São Carlos (SP);1023
Colombo (PR);1007
Mossoró (RN);1005
Itacurubi (RS);1000
Camaçari (BA);996
Praia Grande (SP);984
Pelotas (RS);969
Araruama (RJ);950
Caruaru (PE);949
Itanhaém (SP);941
Porto Velho (RO);939
Rio Claro (SP);925
Santa Cruz do Sul (RS);915
Santa Maria (RS);900
São Francisco (MG);898
Taubaté (SP);896
Sinop (MT);893
Suzano (SP);882
Luziânia (GO);880
Itaquaquecetuba (SP);879
Jaú (SP);876
Umuarama (PR);873
São Vicente (SP);870
Novo Hamburgo (RS);870
Jaraguá do Sul (SC);857
Vitória (ES);856
Apucarana (PR);855
Canoas (RS);845
Venâncio Aires (RS);843
Itu (SP);820
Olinda (PE);815
Patos de Minas (MG);813
Itajubá (MG);808
Passo Fundo (RS);795
Petrópolis (RJ);793
Diadema (SP);786
Guarapuava (PR);786
Toledo (PR);786
Santa Bárbara d'Oeste (SP);783
Jacareí (SP);782
Guarujá (SP);780
São Gonçalo do Amarante (RN);779
Lages (SC);779
Santarém (PA);778
Sumaré (SP);776
Parauapebas (PA);775
Mauá (SP);774
Santa Luzia (MG);773
Denise (MT);767
Palhoça (SC);766
Bragança Paulista (SP);764
Marília (SP);763
São João da Ponte (MG);761
Nova Iguaçu (RJ);761
Petrolina (PE);756
Bocaiúva (MG);755
São Leopoldo (RS);746
Juazeiro do Norte (CE);744
Três Lagoas (MS);736
Governador Valadares (MG);733
Barueri (SP);729
Coração de Maria (BA);724
Paranavaí (PR);717
Bebedouro (SP);716
Araucária (PR);705
Nova Friburgo (RJ);704
Campina Grande (PB);701
Jóia (RS);700
Araçatuba (SP);697
Itajaí (SC);695
Ipatinga (MG);691
Brusque (SC);688
Chapecó (SC);685
Campo Largo (PR);683
Jacuizinho (RS);670
Valinhos (SP);667
Araras (SP);664
Sobral (CE);658
Botucatu (SP);656
Gravataí (RS);651
Barretos (SP);650
Pouso Alegre (MG);647
Araxá (MG);645
Carapicuíba (SP);641
Paranaguá (PR);640
Caucaia (CE);638
Varginha (MG);637
Cachoeiro de Itapemirim (ES);637
Ourinhos (SP);636
Arapiraca (AL);635
Parnaíba (PI);634
Barreiras (BA);631
Caraguatatuba (SP);630
Embu das Artes (SP);629
Taquara (RS);629
Vitorino (PR);626
Mogi Guaçu (SP);623
Rio Verde (GO);621
Alagoinhas (BA);616
Três de Maio (RS);614
Santana de Parnaíba (SP);609
Cambé (PR);607
Palmitos (SC);607
Santo Cristo (RS);607
Guaratinguetá (SP);602
Pinhais (PR);602
Itaúna (MG);601
Crisópolis (BA);600
Alvorada (RS);600
Erechim (RS);600
Cianorte (PR);599
Hortolândia (SP);597
Itumbiara (GO);594
São Bento do Sul (SC);591
Guaíba (RS);589
Ijuí (RS);589
Pindamonhangaba (SP);588
Arapongas (PR);586
Imperatriz (MA);585
Pato Branco (PR);583
Maracanaú (CE);578
Marechal Cândido Rondon (PR);578
Janaúba (MG);577
Ituiutaba (MG);569
Belford Roxo (RJ);563
Itaguaí (RJ);560
Lauro de Freitas (BA);554
Jequié (BA);553
Santa Cecília (SC);553
Salto (SP);552
Ribeirão Pires (SP);550
Morada Nova (CE);548
Vinhedo (SP);547
Rio Grande (RS);547
Tubarão (SC);545
Guarapari (ES);542
São João de Meriti (RJ);542
Jataí (GO);539
Cabo de Santo Agostinho (PE);533
Nova Lima (MG);533
Peruíbe (SP);532
Sertãozinho (SP);530
Fazenda Rio Grande (PR);529
Santiago (RS);529
Ilhéus (BA);526
Grão Mogol (MG);523
Ibiassucê (BA);522
Lavras (MG);522
Jacobina (BA);518
Lagoa Santa (MG);518
Sabará (MG);517
Francisco Beltrão (PR);516
Araranguá (SC);513
Cacoal (RO);512
Gurupi (TO);512
Pirassununga (SP);512
Almirante Tamandaré (PR);510
Macaé (RJ);509
Itapetininga (SP);506
Ibirité (MG);504
Passos (MG);502
Vespasiano (MG);500
Votuporanga (SP);498
Santa Rosa (RS);495
Paulínia (SP);493
Mogi Mirim (SP);492
Piraquara (PR);490
Juazeiro (BA);489
Araguari (MG);489
Resende (RJ);489
Timon (MA);487
Campo Mourão (PR);484
Iguatu (CE);477
Votorantim (SP);477
Bagé (RS);477
Catanduva (SP);476
Castanhal (PA);474
Quixeramobim (CE);470
Itapevi (SP);470
Catalão (GO);470
Angra dos Reis (RJ);469
Teutônia (RS);468
Lagarto (SE);466
Unaí (MG);466
Horizontina (RS);464
Brumado (BA);463
Linhares (ES);460
Araçoiaba da Serra (SP);460
Tatuí (SP);460
Bossoroca (RS);460
Porto Nacional (TO);459
Bertioga (SP);456
São Caetano do Sul (SP);455
Muriaé (MG);454
Lajeado (RS);454
Patrocínio (MG);452
Vilhena (RO);450
Birigui (SP);450
Quinze de Novembro (RS);450
Conselheiro Lafaiete (MG);445
Assis (SP);442
Rio Pardo (RS);439
Itabuna (BA);435
Ouro Preto (MG);435
Santo Ângelo (RS);435
Sorriso (MT);434
Capão da Canoa (RS);433
Caculé (BA);430
Itapecerica da Serra (SP);430
Lucas do Rio Verde (MT);429
Franco da Rocha (SP);428
Ibitinga (SP);426
Garanhuns (PE);421
Mongaguá (SP);420
Guanambi (BA);419
Jaru (RO);417
Ananindeua (PA);417
Teresópolis (RJ);417
Leme (SP);417
Nossa Senhora do Socorro (SE);416
Corumbá (MS);415
Taboão da Serra (SP);414
Ji-Paraná (RO);412
Mesquita (RJ);412
Itapipoca (CE);411
Formiga (MG);410
Picos (PI);404
Atibaia (SP);404
Pontal do Paraná (PR);404
Bento Gonçalves (RS);401
São João del Rei (MG);400
Pará de Minas (MG);399
Gaspar (SC);399
Tramandaí (RS);397
Caxias (MA);396
Itaboraí (RJ);396
São João da Boa Vista (SP);396
Saquarema (RJ);395
Ubatuba (SP);393
Frederico Westphalen (RS);392
São Francisco do Sul (SC);391
Matão (SP);390
Mangaratiba (RJ);388
Queimados (RJ);388
Itabira (MG);387
Arujá (SP);387
Concórdia (SC);387
Indaial (SC);387
Barra do Garças (MT);386
Irati (PR);383
Carazinho (RS);382
Santo Antônio das Missões (RS);382
Avaré (SP);381
Paraíso do Tocantins (TO);380
Igarapé (MG);380
Campo Alegre (SC);380
Aracruz (ES);379
Missal (PR);379
Francisco Morato (SP);378
Senador Canedo (GO);376
Ponta Porã (MS);372
Formosa (GO);372
Rolândia (PR);370
Ibiporã (PR);369
Ibotirama (BA);368
Jaboticabal (SP);365
Nova Serrana (MG);364
Canoinhas (SC);363
Irará (BA);362
Guaratuba (PR);357
Crato (CE);356
Capitão (RS);355
Tangará da Serra (MT);355
Nova Ramada (RS);354
Glória de Dourados (MS);352
São Sebastião (SP);351
Simões Filho (BA);350
Claro dos Poções (MG);350
Paço do Lumiar (MA);348
Teixeira de Freitas (BA);347
Sapucaia do Sul (RS);346
Vera Mendes (PI);345
Caconde (SP);345
Mairiporã (SP);345
Vargem Grande do Sul (SP);345
Telêmaco Borba (PR);345
Campo Bom (RS);344
Maranguape (CE);343
Cachoeiras de Macacu (RJ);343
Francisco Sá (MG);342
São Roque (SP);342
